sous_famille,famille,sous_famille_code,sequence,propriete,propriete_description,raw_unit,resolved_uom,is_major_default,valeurs_possibles,statut,source,masque_description_erp
EL-FU,EL,FU,3,TAI,Taille,,,0,,Validé terrain,Eddy,FUSIBLE [Type: AM/GG/UR] [Taille] [Calibre/A] [Tension]
EL-FU,EL,FU,4,TEN,Tension,Volt,,0,,Validé terrain,Eddy,FUSIBLE [Type: AM/GG/UR] [Taille] [Calibre/A] [Tension]
EL-FU,EL,FU,5,FAB,Fabricant,,,0,,Validé terrain,Eddy,FUSIBLE [Type: AM/GG/UR] [Taille] [Calibre/A] [Tension]
EL-MO,EL,MO,1,TDC,Type de courant,,,0,,Validé terrain,Eddy,MOTEUR ASYNCHRONE [Puissance/kW] [Vitesse/tr/min] [Fixation] [Tension]
EL-MO,EL,MO,2,PUI,Puissance nominale,kW,Kilowatt,1,,Validé terrain,Eddy,MOTEUR ASYNCHRONE [Puissance/kW] [Vitesse/tr/min] [Fixation] [Tension]
EL-MO,EL,MO,3,VIT,Vitesse,tr/min,,0,,Validé terrain,Eddy,MOTEUR ASYNCHRONE [Puissance/kW] [Vitesse/tr/min] [Fixation] [Tension]
EL-MO,EL,MO,4,FIX,Fixation,,,0,,Validé terrain,Eddy,MOTEUR ASYNCHRONE [Puissance/kW] [Vitesse/tr/min] [Fixation] [Tension]
EL-MO,EL,MO,5,TEN,Tension,Volt,,0,,Validé terrain,Eddy,MOTEUR ASYNCHRONE [Puissance/kW] [Vitesse/tr/min] [Fixation] [Tension]
EL-RE,EL,RE,1,TYPE,Type,,,0,,Validé terrain,Eddy,RELAIS [Type: EMBROCHABLE/STAT] BOBINE [Tension/V] [Nbr Contacts]
EL-RE,EL,RE,2,TDCB,Tension de commande bobine,Volt,,1,,Validé terrain,Eddy,RELAIS [Type: EMBROCHABLE/STAT] BOBINE [Tension/V] [Nbr Contacts]
EL-RE,EL,RE,3,CRT,Courant,A,AMP,0,,Validé terrain,Eddy,RELAIS [Type: EMBROCHABLE/STAT] BOBINE [Tension/V] [Nbr Contacts]
EL-RE,EL,RE,4,NBC,Nbr contacts,Nos,Nos,0,,Validé terrain,Eddy,RELAIS [Type: EMBROCHABLE/STAT] BOBINE [Tension/V] [Nbr Contacts]
EL-RE,EL,RE,5,FAB,Fabricant,,,0,,Validé terrain,Eddy,RELAIS [Type: EMBROCHABLE/STAT] BOBINE [Tension/V] [Nbr Contacts]
HY-DI,HY,DI,1,TYPE,Type,,,0,,Validé terrain,lokoli,DISTRIBUTEUR HYDRAULIQUE [Type] [Nbr Voies][Tiroir] [Tension Bobine]
HY-DI,HY,DI,2,DTC,Débit max ou tension commande,L/min ou Volt,,1,,Validé terrain,lokoli,DISTRIBUTEUR HYDRAULIQUE [Type] [Nbr Voies][Tiroir] [Tension Bobine]
HY-DI,HY,DI,3,NBV,Nbr voies,Nos,Nos,0,,Validé terrain,lokoli,DISTRIBUTEUR HYDRAULIQUE [Type] [Nbr Voies][Tiroir] [Tension Bobine]
HY-DI,HY,DI,4,TIR,Tiroir,,,0,,Validé terrain,lokoli,DISTRIBUTEUR HYDRAULIQUE [Type] [Nbr Voies][Tiroir] [Tension Bobine]
HY-DI,HY,DI,5,TNB,Tension bobine,Volt,,0,,Validé terrain,lokoli,DISTRIBUTEUR HYDRAULIQUE [Type] [Nbr Voies][Tiroir] [Tension Bobine]
HY-FI,HY,FI,1,TYPE,Type,,,0,,Validé terrain,lokoli,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
HY-FI,HY,FI,2,SEU,Seuil de filtration,µm,Micrometer,1,,Validé terrain,lokoli,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
HY-FI,HY,FI,3,RAC,Raccordement,,,0,,Validé terrain,lokoli,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
HY-FI,HY,FI,4,DEB,Débit,L/min,,0,,Validé terrain,lokoli,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
HY-FI,HY,FI,5,FAB,Fabricant,,,0,,Validé terrain,lokoli,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
HY-FL,HY,FL,1,TYPE,Type,,,0,,Validé terrain,lokoli,FLEXIBLE HYDRAULIQUE [type: DN[Diamètre Ø int ] L=[Longueur] [Embouts]
HY-FL,HY,FL,2,DN,Diamètre nominal,DN,,1,,Validé terrain,lokoli,FLEXIBLE HYDRAULIQUE [type: DN[Diamètre Ø int ] L=[Longueur] [Embouts]
HY-FL,HY,FL,3,LON,Longueur,mm,Millimeter,0,,Validé terrain,lokoli,FLEXIBLE HYDRAULIQUE [type: DN[Diamètre Ø int ] L=[Longueur] [Embouts]
HY-FL,HY,FL,4,EMB,Embouts,,,0,,Validé terrain,lokoli,FLEXIBLE HYDRAULIQUE [type: DN[Diamètre Ø int ] L=[Longueur] [Embouts]
HY-FL,HY,FL,5,PRE,Pression max,bar,Bar,0,,Validé terrain,lokoli,FLEXIBLE HYDRAULIQUE [type: DN[Diamètre Ø int ] L=[Longueur] [Embouts]
HY-PO,HY,PO,1,TYPE,Type,,,0,,Validé terrain,lokoli,POMPE HYDRAULIQUE [Type:volumetrique/Turbo pompe] [Cylindrée] [Pression Max][type de liquide]
HY-PO,HY,PO,2,DEB,Débit,L/min,,1,,Validé terrain,lokoli,POMPE HYDRAULIQUE [Type:volumetrique/Turbo pompe] [Cylindrée] [Pression Max][type de liquide]
HY-PO,HY,PO,3,CYL,Cylindrée,cm³/tr,,0,,Validé terrain,lokoli,POMPE HYDRAULIQUE [Type:volumetrique/Turbo pompe] [Cylindrée] [Pression Max][type de liquide]
HY-PO,HY,PO,4,PRE,Pression max,bar,Bar,0,,Validé terrain,lokoli,POMPE HYDRAULIQUE [Type:volumetrique/Turbo pompe] [Cylindrée] [Pression Max][type de liquide]
HY-PO,HY,PO,5,LIQ,Type de liquide,,,0,,Validé terrain,lokoli,POMPE HYDRAULIQUE [Type:volumetrique/Turbo pompe] [Cylindrée] [Pression Max][type de liquide]
HY-RA,HY,RA,1,TYPE,Type,,,0,,Validé terrain,lokoli,RACCORD HYDRAULIQUE [Type: IMPLANT/UNION] [Filetage/Ø Tube] [Matière]
HY-RA,HY,RA,2,DTF,Diamètre tube ou filetage,mm / filetage,,1,,Validé terrain,lokoli,RACCORD HYDRAULIQUE [Type: IMPLANT/UNION] [Filetage/Ø Tube] [Matière]
HY-RA,HY,RA,3,MAT,Matière,,,0,,Validé terrain,lokoli,RACCORD HYDRAULIQUE [Type: IMPLANT/UNION] [Filetage/Ø Tube] [Matière]
HY-RA,HY,RA,4,FRM,Forme,,,0,,Validé terrain,lokoli,RACCORD HYDRAULIQUE [Type: IMPLANT/UNION] [Filetage/Ø Tube] [Matière]
HY-RA,HY,RA,5,PRE,Pression max,bar,Bar,0,,Validé terrain,lokoli,RACCORD HYDRAULIQUE [Type: IMPLANT/UNION] [Filetage/Ø Tube] [Matière]
