item_code,sequence,propriete,valeur,unite,is_major,famille,sous_famille
100800105,5,PRE,,Bar,0,HY,HY-VE
100800106,1,TYPE,,,0,HY,HY-VE
100800106,2,DAP,,Millimeter,1,HY,HY-VE
100800106,3,DGT,,Millimeter,0,HY,HY-VE
100800106,4,COU,,Millimeter,0,HY,HY-VE
100800106,5,PRE,,Bar,0,HY,HY-VE
100800117,1,TCO,,,1,IN,IN-TH
100800117,2,LGA,,Millimeter,0,IN,IN-TH
100800117,3,DGA,,Millimeter,0,IN,IN-TH
100800117,4,RAC,,,0,IN,IN-TH
100800117,5,FAB,,,0,IN,IN-TH
100800118,1,TCO,,,1,IN,IN-TH
100800118,2,LGA,,Millimeter,0,IN,IN-TH
100800118,3,DGA,,Millimeter,0,IN,IN-TH
100800118,4,RAC,,,0,IN,IN-TH
100800118,5,FAB,,,0,IN,IN-TH
100800119,1,FON,,,0,PN,PN-EV
100800119,2,DDR,,,1,PN,PN-EV
100800119,3,FIL,,,0,PN,PN-EV
100800119,4,TNC,,,0,PN,PN-EV
100800119,5,TYPE,,,0,PN,PN-EV
100800120,1,FON,,,0,PN,PN-EV
100800120,2,DDR,,,1,PN,PN-EV
100800120,3,FIL,,,0,PN,PN-EV
100800120,4,TNC,,,0,PN,PN-EV
100800120,5,TYPE,,,0,PN,PN-EV
100800122,1,FON,,,0,PN,PN-EV
100800122,2,DDR,,,1,PN,PN-EV
100800122,3,FIL,,,0,PN,PN-EV
100800122,4,TNC,,,0,PN,PN-EV
100800122,5,TYPE,,,0,PN,PN-EV
100800123,1,FON,,,0,PN,PN-EV
100800123,2,DDR,,,1,PN,PN-EV
100800123,3,FIL,,,0,PN,PN-EV
100800123,4,TNC,,,0,PN,PN-EV
100800123,5,TYPE,,,0,PN,PN-EV
100800124,1,FON,,,0,PN,PN-EV
100800124,2,DDR,,,1,PN,PN-EV
100800124,3,FIL,,,0,PN,PN-EV
100800124,4,TNC,,,0,PN,PN-EV
100800124,5,TYPE,,,0,PN,PN-EV
